,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6510.37379188,-0.414154709461,1.0,6,"45979,","45979,"
base_omegak,-6509.95963717,0.0,0.6,7,"29244,","29244,"
base_Alens,-6512.25501266,-2.29537549398,10.0,7,"49753,","49753,"
base_Alensf,-6512.14023813,-2.18060096619,10.0,7,"32864,","32864,"
base_nnu,-6513.39476708,-3.43512991357,9.95,7,"56420,","56420,"
base_mnu,-6513.48191098,-3.52227381217,5.0,7,"65293,","65293,"
base_nrun,-6514.955048,-4.99541082698,2.0,7,"46488,","46488,"
base_r,-6514.62204535,-4.6624081831,3.0,7,"52072,","52072,"
base_w,-6510.56065355,-0.601016380876,4.0,7,"38394,","38394,"
base_alpha1,-6517.94787175,-7.98823458456,2.0,7,"60466,","60466,"
base_yhe,-6512.93778333,-2.97814615919,0.4,7,"48279,","48279,"
base_nnu_mnu,-6516.69998611,-6.74034894623,49.75,8,"68637,","68637,"
base_nrun_r,-6518.94876411,-8.98912694669,6.0,8,"64784,","64784,"
base_nnu_yhe,-6515.19578981,-5.23615263785,3.98,8,"62995,","62995,"
base_nnu_meffsterile,-6516.76025789,-6.80062072081,20.862,8,"40657,","40657,"
